,pmid,gene,species,trait_name,trait_id,relation_type,evidence,method
0,PMID:37897039,TaLAX PANICLE1,Triticum aestivum,plant regeneration,TO:0006003,enhances,"Overexpression of TaLAX PANICLE1 (TaLAX1) markedly enhances regeneration efficiency, thereby boosting genetic transformation and genome editing in wheat.",gene overexpression
1,PMID:37897039,TaGROWTH-REGULATING FACTOR,Triticum aestivum,cytokinin accumulation,TO:0000270,enhances,Increased expression of TaGROWTH-REGULATING FACTOR (TaGRF) genes enhances cytokinin accumulation.,gene overexpression
2,PMID:39062606,TaGOGAT3,Triticum aestivum,nitrogen use efficiency,TO:0000439,influences,The expression level of TaGOGATs and the enzyme activity of TaGOGAT3s in the leaves and roots of wheat seedlings were influenced by the treatment of N deficiency.,sequence analysis
3,PMID:37907517,TaGRAS,Triticum aestivum,abiotic stress tolerance,TO:0000165,increases,An assessment of RNA-seq data and qRT-PCR results revealed a significant increase in the expression of TaGRAS genes during abiotic stress.,RNA-seq and qRT-PCR
4,38002936,Yr72,Triticum aestivum,stripe rust resistance,TO:0006071,confers,The stripe rust resistance gene carried by AUS27506 and AUS27894 was tentatively named YrAW4.,bulked segregant analysis
5,38923651,Snn1,Triticum aestivum,septoria nodorum blotch susceptibility,TO:0006080,confers,"The wheat gene Snn1 was previously cloned, and it encodes a wall-associated kinase that directly interacts with the NE SnTox1 leading to programmed cell death and ultimately the development of SNB.",sequence analysis
6,38177998,TaGGCT20,Triticum aestivum,thousand kernel weight,TO:0000382,increases,"Two haplotypes of TaGGCT20 gene displayed significantly different Thousand-kernel weight (TKW), Kernel length (KL), and Kernel width (KW) in wheat.",association analysis
7,PMID:38486454,TaZF-B1,Triticum aestivum,spike architecture,TO:0001110,influences,"The functions of TaZF-B1, VRT-B2, and TaSPL15-A/D in establishment of wheat spike architecture were verified.",genome-wide association study and meta-QTL analyses
8,PMID:38486454,VRT-B2,Triticum aestivum,spike architecture,TO:0001110,influences,"The functions of TaZF-B1, VRT-B2, and TaSPL15-A/D in establishment of wheat spike architecture were verified.",genome-wide association study and meta-QTL analyses
9,PMID:38486454,TaSPL15-A/D,Triticum aestivum,spike architecture,TO:0001110,influences,"The functions of TaZF-B1, VRT-B2, and TaSPL15-A/D in establishment of wheat spike architecture were verified.",genome-wide association study and meta-QTL analyses
10,PMID:38552264,TaHsf-7A,Triticum aestivum,seed dormancy,TO:0000253,correlates,The allele Hsf-7A-1319-ins correlated with a reduced seed germination rate and elevated dormancy levels.,genetic modification and dual luciferase assay
11,PMID:37689241,TaCIPK17-A2,Triticum aestivum,drought related trait,TO:0000394,regulates,Overexpression of TaCIPK17 enhanced antioxidant capacity and improved drought tolerance in wheat.,transgenic approach
12,PMID:37661030,TaCHS3,Triticum aestivum,pollen exine formation,TO:0000727,participates,TaCHS3 showed anther-specific patterns and was positively co-expressed with sporopollenin biosynthetic genes.,co-expression analysis
13,PMID:37661030,TaCHS10,Triticum aestivum,pollen exine formation,TO:0000727,participates,TaCHS10 showed anther-specific patterns and was positively co-expressed with sporopollenin biosynthetic genes.,co-expression analysis
14,PMID:37661030,TaCHS67,Triticum aestivum,pollen exine formation,TO:0000727,participates,TaCHS67 showed anther-specific patterns and was positively co-expressed with sporopollenin biosynthetic genes.,co-expression analysis
15,39069064,TaCAT2,Triticum aestivum,disease resistance,TO:0000112,enhances,Overexpression of TaCAT2 enhanced plant resistance to Phytophthora infestation and F. graminearum by constitutionally activating SA and JA pathways.,overexpression
16,38977976,TraesCS2D03G0260700,Triticum aestivum,supernumerary spikelets,TO:0000434,associated,TraesCS2D03G0260700 was predicted to be a potential candidate gene for QSS.sicau-2D.,QTL
17,38849110,TaPRR95,Triticum aestivum,plant height,TO:0000207,increases,"Triple allele mutant plants produced by CRISPR/Cas9 show increased plant height, particularly the peduncle.",CRISPR/Cas9
18,38849110,TaPRR95-B,Triticum aestivum,thousand kernel weight,TO:0000382,increases,A haplotype analysis identifies a TaPRR95-B haplotype (Hap2) to be closely associated with increased thousand-grain weight.,haplotype analysis
